"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs259964-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,ZNF831,"Crohn's disease","Crohn's disease",GCST004132,20:59249254
rs2930047-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,DAP,"Crohn's disease","Crohn's disease",GCST004132,5:10695414
rs503734-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,IMPG2,"Crohn's disease","Crohn's disease",GCST004132,3:101304904
rs11681525-<b>?</b>,"5 x 10-7",,'-,'-,'-,'-,TEX41,"Crohn's disease","Crohn's disease",GCST004132,2:144734815
rs243505-<b>?</b>,"6 x 10-7",,'-,'-,'-,'-,CUL1,"Crohn's disease","Crohn's disease",GCST004132,7:148738247
rs1819658-<b>?</b>,"6 x 10-7",,'-,'-,'-,'-,"AC026884.1, IPMK","Crohn's disease","Crohn's disease",GCST004132,10:58153390
rs4845604-<b>?</b>,"6 x 10-7",,'-,'-,'-,'-,RORC,"Crohn's disease","Crohn's disease",GCST004132,1:151829204
rs4656958-<b>?</b>,"6 x 10-7",,'-,'-,'-,'-,"AL354714.2, ITLN1","Crohn's disease","Crohn's disease",GCST004132,1:160887174
rs653178-<b>?</b>,"7 x 10-7",,'-,'-,'-,'-,ATXN2,"Crohn's disease","Crohn's disease",GCST004132,12:111569952
rs59043219-<b>?</b>,"7 x 10-7",,'-,'-,'-,'-,IRF6,"Crohn's disease","Crohn's disease",GCST004132,1:209797265
rs5763767-<b>?</b>,"8 x 10-7",,'-,'-,'-,'-,HORMAD2,"Crohn's disease","Crohn's disease",GCST004132,22:30097893
rs144344067-<b>?</b>,"8 x 10-7",,'-,'-,'-,'-,FAM171B,"Crohn's disease","Crohn's disease",GCST004132,2:186711652
rs4246215-<b>?</b>,"9 x 10-7",,'-,'-,'-,'-,"FEN1, FADS2","Crohn's disease","Crohn's disease",GCST004132,11:61796827
rs1479918-<b>?</b>,"9 x 10-7",,'-,'-,'-,'-,"IL2, ADAD1","Crohn's disease","Crohn's disease",GCST004132,4:122430276
rs1292053-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,TUBD1,"Crohn's disease","Crohn's disease",GCST004132,17:59886176
rs16967103-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,"RASGRP1, LINC02694","Crohn's disease","Crohn's disease",GCST004132,15:38606989
rs3766606-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,PARK7,"Crohn's disease","Crohn's disease",GCST004132,1:7962137
rs7240004-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,"SMAD7, CTIF","Crohn's disease","Crohn's disease",GCST004132,18:48868651
rs111456533-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,"AC068896.3, EEF1AKMT2","Crohn's disease","Crohn's disease",GCST004132,10:124750812
rs1748195-<b>?</b>,"4 x 10-6",,'-,'-,'-,'-,DOCK7,"Crohn's disease","Crohn's disease",GCST004132,1:62583922
rs3853824-<b>?</b>,"4 x 10-6",,'-,'-,'-,'-,C17orf67,"Crohn's disease","Crohn's disease",GCST004132,17:56803632
rs2636006-<b>?</b>,"4 x 10-6",,'-,'-,'-,'-,MAGI3,"Crohn's disease","Crohn's disease",GCST004132,1:113623135
rs559928-<b>?</b>,"5 x 10-6",,'-,'-,'-,'-,"RPS6KA4, LINC02723","Crohn's disease","Crohn's disease",GCST004132,11:64382898
rs10065637-<b>?</b>,"5 x 10-6",,'-,'-,'-,'-,ANKRD55,"Crohn's disease","Crohn's disease",GCST004132,5:56143024
rs76527535-<b>?</b>,"5 x 10-6",,'-,'-,'-,'-,BOK-AS1,"Crohn's disease","Crohn's disease",GCST004132,2:241545286
rs7954567-<b>?</b>,"5 x 10-9",,'-,'-,'-,'-,LTBR,"Crohn's disease","Crohn's disease",GCST004132,12:6381959
rs2581828-<b>C</b>,"6 x 10-9",,0.597,1.1,'-,[1.07–1.13],"AC096887.1, RFT1","Crohn's disease","Crohn's disease",GCST004132,3:53099133
rs56116661-<b>C</b>,"6 x 10-10",,0.795,1.14,'-,[1.10–1.18],LPP,"Crohn's disease","Crohn's disease",GCST004132,3:188683372
rs80244186-<b>C</b>,"4 x 10-8",,0.111,1.13,'-,[1.09–1.18],LINC02341,"Crohn's disease","Crohn's disease",GCST004132,13:42343725
rs4821544-<b>C</b>,"2 x 10-8",,0.321,1.1,'-,[1.07–1.13],"NCF4, NCF4-AS1","Crohn's disease","Crohn's disease",GCST004132,22:36862461
rs10492862-<b>A</b>,"1 x 10-9",,0.308,1.11,'-,[1.08–1.15],CDH13,"Crohn's disease","Crohn's disease",GCST004132,16:82833851
rs1456896-<b>?</b>,"9 x 10-12",,'-,'-,'-,'-,"AC020743.3, AC020743.2","Crohn's disease","Crohn's disease",GCST004132,7:50264865
rs12942547-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,STAT3,"Crohn's disease","Crohn's disease",GCST004132,17:42375526
rs516246-<b>?</b>,"4 x 10-11",,'-,'-,'-,'-,FUT2,"Crohn's disease","Crohn's disease",GCST004132,19:48702915
rs13126505-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,BANK1,"Crohn's disease","Crohn's disease",GCST004132,4:101944147
rs2488397-<b>?</b>,"5 x 10-11",,'-,'-,'-,'-,DENND1B,"Crohn's disease","Crohn's disease",GCST004132,1:197732149
rs6586030-<b>?</b>,"7 x 10-8",,'-,'-,'-,'-,TSPAN14,"Crohn's disease","Crohn's disease",GCST004132,10:80494291
rs724016-<b>?</b>,"8 x 10-8",,'-,'-,'-,'-,ZBTB38,"Crohn's disease","Crohn's disease",GCST004132,3:141386728
rs13407913-<b>?</b>,"9 x 10-8",,'-,'-,'-,'-,ADCY3,"Crohn's disease","Crohn's disease",GCST004132,2:24874775
rs529866-<b>?</b>,"1 x 10-7",,'-,'-,'-,'-,RMI2,"Crohn's disease","Crohn's disease",GCST004132,16:11279463
rs1569328-<b>?</b>,"1 x 10-7",,'-,'-,'-,'-,"AF111167.1, FOS","Crohn's disease","Crohn's disease",GCST004132,14:75275048
rs17119-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,AL138720.1,"Crohn's disease","Crohn's disease",GCST004132,6:14719265
rs395157-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,OSMR,"Crohn's disease","Crohn's disease",GCST004132,5:38867630
rs1569723-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,"CD40, RPL13P2","Crohn's disease","Crohn's disease",GCST004132,20:46113425
rs3180018-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,SCAMP3,"Crohn's disease","Crohn's disease",GCST004132,1:155260340
rs67289879-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,CCND3,"Crohn's disease","Crohn's disease",GCST004132,6:42039665
rs4256018-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,FERMT1,"Crohn's disease","Crohn's disease",GCST004132,20:6113242
rs11734570-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,"LINC02278, KLF3-AS1","Crohn's disease","Crohn's disease",GCST004132,4:38586832
rs4802307-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,"HIF3A, PPP5C","Crohn's disease","Crohn's disease",GCST004132,19:46346549
rs2062305-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,LINC02341,"Crohn's disease","Crohn's disease",GCST004132,13:42478744
rs2836878-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,"RPL23AP12, AF064858.1","Crohn's disease","Crohn's disease",GCST004132,21:39093608
rs34804116-<b>?</b>,"6 x 10-6",,'-,'-,'-,'-,AC116345.1,"Crohn's disease","Crohn's disease",GCST004132,5:73244023
rs2593855-<b>?</b>,"7 x 10-6",,'-,'-,'-,'-,"AC097634.4, FOXP1","Crohn's disease","Crohn's disease",GCST004132,3:71126344
rs630923-<b>?</b>,"7 x 10-6",,'-,'-,'-,'-,"AP004609.1, CXCR5","Crohn's disease","Crohn's disease",GCST004132,11:118883644
rs9491891-<b>?</b>,"7 x 10-6",,'-,'-,'-,'-,"THEMIS, PTPRK","Crohn's disease","Crohn's disease",GCST004132,6:127956006
rs7555082-<b>?</b>,"9 x 10-6",,'-,'-,'-,'-,"PTPRC, AL157402.1","Crohn's disease","Crohn's disease",GCST004132,1:198629533
rs2066844-<b>?</b>,"6 x 10-99",,'-,'-,'-,'-,NOD2,"Crohn's disease","Crohn's disease",GCST004132,16:50712015
rs11581607-<b>?</b>,"6 x 10-93",,'-,'-,'-,'-,IL23R,"Crohn's disease","Crohn's disease",GCST004132,1:67242007
rs6752107-<b>?</b>,"2 x 10-61",,'-,'-,'-,'-,ATG16L1,"Crohn's disease","Crohn's disease",GCST004132,2:233252802
rs11742570-<b>?</b>,"1 x 10-55",,'-,'-,'-,'-,"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST004132,5:40410482
rs2188962-<b>?</b>,"6 x 10-36",,'-,'-,'-,'-,"AC116366.3, IRF1-AS1","Crohn's disease","Crohn's disease",GCST004132,5:132435113
rs10781499-<b>?</b>,"6 x 10-30",,'-,'-,'-,'-,CARD9,"Crohn's disease","Crohn's disease",GCST004132,9:136371953
rs10761659-<b>?</b>,"8 x 10-29",,'-,'-,'-,'-,AC067751.1,"Crohn's disease","Crohn's disease",GCST004132,10:62685804
rs11236797-<b>?</b>,"9 x 10-28",,'-,'-,'-,'-,"AP001189.2, EMSY","Crohn's disease","Crohn's disease",GCST004132,11:76588605
rs56167332-<b>?</b>,"1 x 10-27",,'-,'-,'-,'-,AC008691.1,"Crohn's disease","Crohn's disease",GCST004132,5:159400761
rs2823286-<b>?</b>,"6 x 10-26",,'-,'-,'-,'-,AJ009632.2,"Crohn's disease","Crohn's disease",GCST004132,21:15445619
rs4409764-<b>?</b>,"2 x 10-24",,'-,'-,'-,'-,"LINC01475, AL391684.1","Crohn's disease","Crohn's disease",GCST004132,10:99524480
rs3197999-<b>?</b>,"3 x 10-23",,'-,'-,'-,'-,MST1,"Crohn's disease","Crohn's disease",GCST004132,3:49684099
rs7517810-<b>?</b>,"2 x 10-21",,'-,'-,'-,'-,AL031599.1,"Crohn's disease","Crohn's disease",GCST004132,1:172884320
rs2413583-<b>?</b>,"8 x 10-21",,'-,'-,'-,'-,AL031590.1,"Crohn's disease","Crohn's disease",GCST004132,22:39263768
rs2024092-<b>?</b>,"1 x 10-20",,'-,'-,'-,'-,SBNO2,"Crohn's disease","Crohn's disease",GCST004132,19:1124032
rs80262450-<b>?</b>,"1 x 10-20",,'-,'-,'-,'-,PTPN2,"Crohn's disease","Crohn's disease",GCST004132,18:12818923
rs1819333-<b>?</b>,"2 x 10-20",,'-,'-,'-,'-,"Z94721.1, RNASET2","Crohn's disease","Crohn's disease",GCST004132,6:166960059
rs148319899-<b>?</b>,"6 x 10-20",,'-,'-,'-,'-,LRRK2,"Crohn's disease","Crohn's disease",GCST004132,12:40346421
rs11741861-<b>?</b>,"2 x 10-19",,'-,'-,'-,'-,"IRGM, ZNF300","Crohn's disease","Crohn's disease",GCST004132,5:150898347
rs17293632-<b>?</b>,"2 x 10-19",,'-,'-,'-,'-,SMAD3,"Crohn's disease","Crohn's disease",GCST004132,15:67150258
rs34687326-<b>G</b>,"1 x 10-6",,0.9,1.18,'-,[1.12–1.24],SLAMF8,"Crohn's disease","Crohn's disease",GCST004132,1:159830120
rs1847472-<b>?</b>,"6 x 10-9",,'-,'-,'-,'-,BACH2,"Crohn's disease","Crohn's disease",GCST004132,6:90263440
rs2581828-<b>?</b>,"7 x 10-9",,'-,'-,'-,'-,"AC096887.1, RFT1","Crohn's disease","Crohn's disease",GCST004132,3:53099133
rs34687326-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,SLAMF8,"Crohn's disease","Crohn's disease",GCST004132,1:159830120
rs9358372-<b>?</b>,"1 x 10-8",,'-,'-,'-,'-,CDKAL1,"Crohn's disease","Crohn's disease",GCST004132,6:20812357
rs61839660-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,IL2RA,"Crohn's disease","Crohn's disease",GCST004132,10:6052734
rs71559680-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,"AL031767.2, LINC00581","Crohn's disease","Crohn's disease",GCST004132,6:21430497
rs10775412-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,KSR1,"Crohn's disease","Crohn's disease",GCST004132,17:27542007
rs10495903-<b>?</b>,"4 x 10-11",,'-,'-,'-,'-,THADA,"Crohn's disease","Crohn's disease",GCST004132,2:43579779
rs6738825-<b>?</b>,"7 x 10-8",,'-,'-,'-,'-,PLCL1,"Crohn's disease","Crohn's disease",GCST004132,2:198032171
rs11195128-<b>?</b>,"5 x 10-11",,'-,'-,'-,'-,"SMNDC1, AL355512.1","Crohn's disease","Crohn's disease",GCST004132,10:110426390
rs13001325-<b>?</b>,"6 x 10-11",,'-,'-,'-,'-,"IL18R1, IL1RL1","Crohn's disease","Crohn's disease",GCST004132,2:102322576
rs1260326-<b>?</b>,"6 x 10-11",,'-,'-,'-,'-,GCKR,"Crohn's disease","Crohn's disease",GCST004132,2:27508073
rs6651252-<b>?</b>,"9 x 10-11",,'-,'-,'-,'-,LINC00824,"Crohn's disease","Crohn's disease",GCST004132,8:128554935
rs212388-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,"AL035530.1, AL035530.2, AL356417.3","Crohn's disease","Crohn's disease",GCST004132,6:159069404
rs6740847-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,"AC020595.1, ITGA4","Crohn's disease","Crohn's disease",GCST004132,2:181443625
rs7554511-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,INAVA,"Crohn's disease","Crohn's disease",GCST004132,1:200908434
rs28449958-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,"NUPR1, IL27","Crohn's disease","Crohn's disease",GCST004132,16:28517460
rs1042058-<b>?</b>,"5 x 10-10",,'-,'-,'-,'-,MAP3K8,"Crohn's disease","Crohn's disease",GCST004132,10:30439172
rs56116661-<b>?</b>,"6 x 10-10",,'-,'-,'-,'-,LPP,"Crohn's disease","Crohn's disease",GCST004132,3:188683372
rs925255-<b>?</b>,"1 x 10-9",,'-,'-,'-,'-,AC104695.2,"Crohn's disease","Crohn's disease",GCST004132,2:28391927
rs17694108-<b>?</b>,"1 x 10-9",,'-,'-,'-,'-,"AC008738.6, SLC7A10","Crohn's disease","Crohn's disease",GCST004132,19:33240645
rs2227564-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,"PLAU, C10orf55","Crohn's disease","Crohn's disease",GCST004132,10:73913343
rs9491697-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,"AL356534.1, RSPO3","Crohn's disease","Crohn's disease",GCST004132,6:127134977
rs7282490-<b>?</b>,"2 x 10-18",,'-,'-,'-,'-,GATD3A,"Crohn's disease","Crohn's disease",GCST004132,21:44195858
rs3091316-<b>?</b>,"2 x 10-17",,'-,'-,'-,'-,"CCL7, CCL2","Crohn's disease","Crohn's disease",GCST004132,17:34266955
rs12946510-<b>?</b>,"1 x 10-16",,'-,'-,'-,'-,'-,"Crohn's disease","Crohn's disease",GCST004132,"Mapping not available"
rs75900472-<b>?</b>,"3 x 10-16",,'-,'-,'-,'-,"JAK2, HNRNPA1P41","Crohn's disease","Crohn's disease",GCST004132,9:4981601
rs2266959-<b>?</b>,"1 x 10-15",,'-,'-,'-,'-,UBE2L3,"Crohn's disease","Crohn's disease",GCST004132,22:21568615
rs921720-<b>?</b>,"3 x 10-15",,'-,'-,'-,'-,AC091114.1,"Crohn's disease","Crohn's disease",GCST004132,8:125522429
rs1250550-<b>?</b>,"9 x 10-15",,'-,'-,'-,'-,ZMIZ1,"Crohn's disease","Crohn's disease",GCST004132,10:79300560
rs2284553-<b>?</b>,"1 x 10-14",,'-,'-,'-,'-,IFNGR2,"Crohn's disease","Crohn's disease",GCST004132,21:33404389
rs1363907-<b>?</b>,"1 x 10-14",,'-,'-,'-,'-,"AC009126.1, ERAP2","Crohn's disease","Crohn's disease",GCST004132,5:96917099
rs3024505-<b>?</b>,"3 x 10-14",,'-,'-,'-,'-,"IL10, AL591846.1","Crohn's disease","Crohn's disease",GCST004132,1:206766559
rs34779708-<b>?</b>,"4 x 10-14",,'-,'-,'-,'-,CREM,"Crohn's disease","Crohn's disease",GCST004132,10:35177257
rs7608910-<b>?</b>,"6 x 10-14",,'-,'-,'-,'-,PUS10,"Crohn's disease","Crohn's disease",GCST004132,2:60977721
rs3764147-<b>?</b>,"1 x 10-13",,'-,'-,'-,'-,LACC1,"Crohn's disease","Crohn's disease",GCST004132,13:43883789
rs6716753-<b>?</b>,"1 x 10-13",,'-,'-,'-,'-,SP140,"Crohn's disease","Crohn's disease",GCST004132,2:230232414
rs6062496-<b>?</b>,"3 x 10-13",,'-,'-,'-,'-,"TNFRSF6B, RTEL1-TNFRSF6B","Crohn's disease","Crohn's disease",GCST004132,20:63697746
rs11879191-<b>?</b>,"3 x 10-13",,'-,'-,'-,'-,CDC37,"Crohn's disease","Crohn's disease",GCST004132,19:10402235
rs7746082-<b>?</b>,"2 x 10-12",,'-,'-,'-,'-,"RN7SKP211, PRDM1","Crohn's disease","Crohn's disease",GCST004132,6:105987394
rs8005161-<b>?</b>,"5 x 10-12",,'-,'-,'-,'-,GPR65,"Crohn's disease","Crohn's disease",GCST004132,14:88006251
rs6863411-<b>?</b>,"7 x 10-12",,'-,'-,'-,'-,NDFIP1,"Crohn's disease","Crohn's disease",GCST004132,5:142133639
rs1992660-<b>?</b>,"4 x 10-7",,0.39,1.42,'-,[1.24-1.67],"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST000066,5:40414965
rs1793004-<b>?</b>,"3 x 10-6",,0.27,1.3,'-,[1.12-1.52],NELL1,"Crohn's disease","Crohn's disease",GCST000066,11:20677383
rs2076756-<b>?</b>,"1 x 10-21",,0.27,1.71,'-,[1.42-2.05],NOD2,"Crohn's disease","Crohn's disease",GCST000066,16:50722970
"rs10789230-<b>?</b>, rs11209026-<b>?</b>, rs1343151-<b>?</b>, rs6669582-<b>?</b>, rs10889676-<b>?</b>, rs11209003-<b>?</b>, rs12567232-<b>?</b>, rs11209002-<b>?</b>, rs11465804-<b>?</b>, rs10889677-<b>?</b>, rs2201841-<b>?</b>, rs1004819-<b>?</b>, rs9988642-<b>?</b>, rs2902440-<b>?</b>, rs2064689-<b>?</b>, rs11465802-<b>?</b>","1 x 10-8",,0.23,1.38,'-,[1.23-1.53],"IL23R - RNU4ATAC4P; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R; C1orf141; IL23R - RNU4ATAC4P; C1orf141; IL23R; IL23R; C1orf141; IL23R; C1orf141; IL23R; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; IL23R; IL23R; C1orf141","Crohn's disease","Crohn's disease",GCST000071,1:67264945|1:67240275|1:67253446|1:67264372|1:67256884|1:67135449|1:67262335|1:67124778|1:67236843|1:67259437|1:67228519|1:67204530|1:67260421|1:67205233|1:67187327|1:67219915
"rs10789230-<b>?</b>, rs11209026-<b>?</b>, rs1343151-<b>?</b>, rs6669582-<b>?</b>, rs10889676-<b>?</b>, rs11209003-<b>?</b>, rs12567232-<b>?</b>, rs11209002-<b>?</b>, rs11465804-<b>?</b>, rs10889677-<b>?</b>, rs2201841-<b>?</b>, rs1004819-<b>?</b>, rs9988642-<b>?</b>, rs2902440-<b>?</b>, rs2064689-<b>?</b>, rs11465802-<b>?</b>","2 x 10-7",,0.97,2.56,'-,[1.75-3.70],"IL23R - RNU4ATAC4P; IL23R; IL23R; IL23R - RNU4ATAC4P; IL23R; C1orf141; IL23R - RNU4ATAC4P; C1orf141; IL23R; IL23R; C1orf141; IL23R; C1orf141; IL23R; IL23R - RNU4ATAC4P; C1orf141; IL23R; C1orf141; IL23R; IL23R; C1orf141","Crohn's disease","Crohn's disease",GCST000071,1:67264945|1:67240275|1:67253446|1:67264372|1:67256884|1:67135449|1:67262335|1:67124778|1:67236843|1:67259437|1:67228519|1:67204530|1:67260421|1:67205233|1:67187327|1:67219915
rs9271366-<b>A</b>,"5 x 10-12",,0.888,1.66,'-,[1.44-1.92],"HLA-DRB1, HLA-DQA1","Crohn's disease","Crohn's disease",GCST002094,6:32619077
rs6856616-<b>C</b>,"4 x 10-14",,0.23,1.43,'-,[1.31-1.57],"LINC02513, AC098680.1","Crohn's disease","Crohn's disease",GCST002094,4:38323415
rs10947261-<b>T</b>,"3 x 10-12",,0.294,1.36,'-,[1.25-1.49],"BTNL2, TSBP1-AS1","Crohn's disease","Crohn's disease",GCST002094,6:32405455
rs751728-<b>T</b>,"1 x 10-8",,0.733,1.32,'-,[1.20-1.45],MLN,"Crohn's disease","Crohn's disease",GCST002094,6:33796256
rs2149085-<b>T</b>,"8 x 10-12",,0.379,1.34,'-,[1.23-1.45],"RNASET2, Z94721.1","Crohn's disease","Crohn's disease",GCST002094,6:166957622
rs11195128-<b>T</b>,"2 x 10-10",,0.152,1.42,'-,[1.28-1.58],"SMNDC1, AL355512.1","Crohn's disease","Crohn's disease",GCST002094,10:110426390
rs11235667-<b>G</b>,"7 x 10-9",,0.096,1.46,'-,[1.28-1.65],"AP002761.2, FCHSD2","Crohn's disease","Crohn's disease",GCST002094,11:73152652
rs4286721-<b>G</b>,"3 x 10-6",,NR,1.3368983,'-,[1.18-1.51],AC114977.1,"Crohn's disease","Crohn's disease",GCST008730,5:40497502
rs78898421-<b>?</b>,"3 x 10-26",,0.47,2.1,'-,NR,"TNFSF15, AL133412.1","Crohn's disease","Crohn's disease",GCST007216,9:114831987
rs224136-<b>?</b>,"9 x 10-9",,0.703,1.5873016,'-,NR,AC067751.1,"Crohn's disease","Crohn's disease",GCST007216,10:62710915
rs73243351-<b>?</b>,"4 x 10-8",,0.203,1.53,'-,NR,"AC098680.1, LINC02513","Crohn's disease","Crohn's disease",GCST007216,4:38333446
rs56167332-<b>?</b>,"9 x 10-8",,0.381,1.43,'-,NR,AC008691.1,"Crohn's disease","Crohn's disease",GCST007216,5:159400761
rs56354901-<b>?</b>,"6 x 10-7",,0.122,1.59,'-,NR,IL27,"Crohn's disease","Crohn's disease",GCST007216,16:28511823
rs76418789-<b>?</b>,"7 x 10-7",,0.923,2.3255813,'-,NR,"C1orf141, IL23R","Crohn's disease","Crohn's disease",GCST007216,1:67182913
rs184950714-<b>?</b>,"4 x 10-19",,0.156,2.05,'-,NR,"MTCO3P1, HLA-DQB1","Crohn's disease","Crohn's disease",GCST007216,6:32668951
rs488200-<b>T</b>,"4 x 10-8",,0.451,1.31,'-,'-,INKA2,"Crohn's disease","Crohn's disease",GCST007216,1:111720204
rs4727354-<b>T</b>,"7 x 10-6",,0.043,1.59,'-,NR,"CCDC146, GSAP","Crohn's disease","Crohn's disease",GCST007216,7:77319034
rs9828223-<b>A</b>,"2 x 10-9",,0.10,15.87,'-,[4.38-57.49],CD96,"Anti-adalimumab antibody production in response to treatment in Crohn's disease","response to TNF antagonist, Crohn's disease",GCST008271,3:111506078
rs3764147-<b>G</b>,"2 x 10-13",,0.22,1.25,'-,[NR],LACC1,"Crohn's disease","Crohn's disease",GCST000207,13:43883789
rs7746082-<b>C</b>,"2 x 10-10",,0.29,1.17,'-,[NR],"RN7SKP211, PRDM1","Crohn's disease","Crohn's disease",GCST000207,6:105987394
rs2274910-<b>C</b>,"1 x 10-9",,0.68,1.14,'-,[NR],ITLN1,"Crohn's disease","Crohn's disease",GCST000207,1:160882256
rs2188962-<b>T</b>,"2 x 10-18",,0.43,1.25,'-,[NR],"AC116366.3, IRF1-AS1","Crohn's disease","Crohn's disease",GCST000207,5:132435113
rs4263839-<b>G</b>,"3 x 10-10",,0.68,1.22,'-,[NR],TNFSF15,"Crohn's disease","Crohn's disease",GCST000207,9:114804160
rs11190140-<b>T</b>,"3 x 10-16",,0.48,1.2,'-,[NR],"NKX2-3, LINC01475","Crohn's disease","Crohn's disease",GCST000207,10:99531836
rs2542151-<b>G</b>,"5 x 10-17",,0.15,1.35,'-,[NR],"PTPN2, AP005482.2","Crohn's disease","Crohn's disease",GCST000207,18:12779948
rs10045431-<b>C</b>,"4 x 10-13",,0.71,1.11,'-,[NR],AC008691.1,"Crohn's disease","Crohn's disease",GCST000207,5:159387525
rs2301436-<b>T</b>,"1 x 10-12",,0.46,1.21,'-,[NR],"FGFR1OP, Z94721.2","Crohn's disease","Crohn's disease",GCST000207,6:167024500
rs744166-<b>A</b>,"7 x 10-12",,0.57,1.18,'-,[NR],STAT3,"Crohn's disease","Crohn's disease",GCST000207,17:42362183
rs11175593-<b>T</b>,"3 x 10-10",,0.02,1.54,'-,[NR],"LRRK2-DT, LRRK2, LINC02471","Crohn's disease","Crohn's disease",GCST000207,12:40208138
rs10758669-<b>C</b>,"3 x 10-9",,0.35,1.12,'-,[NR],"HNRNPA1P41, JAK2","Crohn's disease","Crohn's disease",GCST000207,9:4981602
rs3197999-<b>A</b>,"1 x 10-12",,0.27,1.2,'-,[NR],MST1,"Crohn's disease","Crohn's disease",GCST000207,3:49684099
rs11747270-<b>G</b>,"3 x 10-16",,0.09,1.33,'-,[NR],IRGM,"Crohn's disease","Crohn's disease",GCST000207,5:150879305
rs2066847-<b>C</b>,"3 x 10-24",,0.02,3.99,'-,[NR],"AC007728.2, NOD2","Crohn's disease","Crohn's disease",GCST000207,16:50729868
rs10995271-<b>C</b>,"4 x 10-20",,0.39,1.25,'-,[NR],"AC024598.1, AC067751.1","Crohn's disease","Crohn's disease",GCST000207,10:62678726
rs6908425-<b>C</b>,"9 x 10-10",,0.78,1.21,'-,[NR],CDKAL1,"Crohn's disease","Crohn's disease",GCST000207,6:20728500
rs1551398-<b>A</b>,"5 x 10-9",,0.62,1.08,'-,[NR],AC091114.1,"Crohn's disease","Crohn's disease",GCST000207,8:125527809
rs2476601-<b>G</b>,"1 x 10-8",,0.90,1.31,'-,[NR],"PTPN22, AL137856.1","Crohn's disease","Crohn's disease",GCST000207,1:113834946
rs9286879-<b>G</b>,"2 x 10-9",,0.24,1.19,'-,[NR],AL031599.1,"Crohn's disease","Crohn's disease",GCST000207,1:172893094
rs11584383-<b>T</b>,"1 x 10-11",,0.70,1.18,'-,[NR],"KIF21B, MROH3P","Crohn's disease","Crohn's disease",GCST000207,1:200966738
rs1456893-<b>A</b>,"5 x 10-9",,0.68,1.2,'-,[NR],AC020743.2,"Crohn's disease","Crohn's disease",GCST000207,7:50230076
rs17582416-<b>G</b>,"2 x 10-9",,0.35,1.16,'-,[NR],"CUL2, LINC02635","Crohn's disease","Crohn's disease",GCST000207,10:34998722
rs7927894-<b>T</b>,"1 x 10-9",,0.39,1.16,'-,[NR],"EMSY, AP001189.2","Crohn's disease","Crohn's disease",GCST000207,11:76590272
rs2872507-<b>A</b>,"5 x 10-9",,0.47,1.12,'-,[NR],"GSDMB, ZPBP2","Crohn's disease","Crohn's disease",GCST000207,17:39884510
rs762421-<b>G</b>,"1 x 10-9",,0.39,1.13,'-,[NR],GATD3A,"Crohn's disease","Crohn's disease",GCST000207,21:44195678
rs11465804-<b>T</b>,"7 x 10-63",,0.93,2.5,'-,[NR],IL23R,"Crohn's disease","Crohn's disease",GCST000207,1:67236843
rs3828309-<b>G</b>,"2 x 10-32",,0.53,1.25,'-,[NR],ATG16L1,"Crohn's disease","Crohn's disease",GCST000207,2:233271764
rs4613763-<b>C</b>,"7 x 10-27",,0.13,1.32,'-,[NR],"AC093277.1, AC108105.1","Crohn's disease","Crohn's disease",GCST000207,5:40392626
